"Gene"	"IS01"	"IS02"	"State"	"MaxFC"
"XRRA1"	"XRRA1"	0.371141107458461	-0.371141107458461	"IS01"	0.371141107458461
"ZRSR2"	"ZRSR2"	0.370885760928944	-0.370885760928944	"IS01"	0.370885760928944
"SEBOX"	"SEBOX"	0.363975677627314	-0.363975677627314	"IS01"	0.363975677627314
"C3orf30"	"C3orf30"	0.361532630311035	-0.361532630311035	"IS01"	0.361532630311035
"NPL"	"NPL"	0.356984066554196	-0.356984066554196	"IS01"	0.356984066554196
"GOLGA8A"	"GOLGA8A"	0.353932777647721	-0.353932777647721	"IS01"	0.353932777647721
"LRRC74A"	"LRRC74A"	0.352287876930597	-0.352287876930597	"IS01"	0.352287876930597
"CCDC34"	"CCDC34"	0.323224446151908	-0.323224446151908	"IS01"	0.323224446151908
"RNF113A"	"RNF113A"	0.321623973343819	-0.321623973343819	"IS01"	0.321623973343819
"TMCO1"	"TMCO1"	0.316437298678533	-0.316437298678533	"IS01"	0.316437298678533
"NUBP1"	"NUBP1"	0.30686996244673	-0.30686996244673	"IS01"	0.30686996244673
"PRG3"	"PRG3"	0.30621514838335	-0.30621514838335	"IS01"	0.30621514838335
"SLC7A3"	"SLC7A3"	0.303312753058757	-0.303312753058757	"IS01"	0.303312753058757
"GPATCH11"	"GPATCH11"	0.302937110830956	-0.302937110830956	"IS01"	0.302937110830956
"EIF3J"	"EIF3J"	0.299677586828595	-0.299677586828595	"IS01"	0.299677586828595
"AMIGO3"	"AMIGO3"	0.297353564434187	-0.297353564434187	"IS01"	0.297353564434187
"LDHA"	"LDHA"	0.296798218524647	-0.296798218524647	"IS01"	0.296798218524647
"BATF"	"BATF"	0.284899554037799	-0.284899554037799	"IS01"	0.284899554037799
"RSRC2"	"RSRC2"	0.284794457416691	-0.284794457416691	"IS01"	0.284794457416691
"PITPNM2"	"PITPNM2"	0.271605612990367	-0.271605612990367	"IS01"	0.271605612990367
"MPND"	"MPND"	0.263184865100842	-0.263184865100842	"IS01"	0.263184865100842
"JADE2"	"JADE2"	0.257911283483231	-0.257911283483231	"IS01"	0.257911283483231
"NARS"	"NARS"	0.256752855961965	-0.256752855961965	"IS01"	0.256752855961965
"ANP32B"	"ANP32B"	0.25632192077616	-0.25632192077616	"IS01"	0.25632192077616
"MYL6"	"MYL6"	0.249684326281185	-0.249684326281185	"IS01"	0.249684326281185
"HSPA8"	"HSPA8"	0.247811960851819	-0.247811960851819	"IS01"	0.247811960851819
"TTN"	"TTN"	0.240859586384886	-0.240859586384886	"IS01"	0.240859586384886
"CLTA"	"CLTA"	0.237703736803549	-0.237703736803549	"IS01"	0.237703736803549
"RAPGEF6"	"RAPGEF6"	0.235856681369917	-0.235856681369917	"IS01"	0.235856681369917
"ZFHX3"	"ZFHX3"	0.22644042752251	-0.22644042752251	"IS01"	0.22644042752251
"MAN1C1"	"MAN1C1"	0.209249621091242	-0.209249621091242	"IS01"	0.209249621091242
"MUC6"	"MUC6"	0.206908027250925	-0.206908027250925	"IS01"	0.206908027250925
"NBPF26"	"NBPF26"	0.198717198232248	-0.198717198232248	"IS01"	0.198717198232248
"HIST1H1B"	"HIST1H1B"	0.194204313959944	-0.194204313959944	"IS01"	0.194204313959944
"LEF1"	"LEF1"	0.192536490008348	-0.192536490008348	"IS01"	0.192536490008348
"HELLS"	"HELLS"	0.192142618039271	-0.192142618039271	"IS01"	0.192142618039271
