"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"BIRC7"	"BIRC7"	-0.443673455687627	-0.367552334576001	0.724840885108909	"IS03"	0.724840885108909
"TEF"	"TEF"	-0.915902979667142	-0.00790082589454487	0.724254048554496	"IS03"	0.724254048554496
"TAF6"	"TAF6"	-0.832549050316272	-0.0683428489108699	0.721231107170856	"IS03"	0.721231107170856
"DDAH2"	"DDAH2"	-0.815547385641468	-0.0791928350611969	0.719094392796364	"IS03"	0.719094392796364
"GADD45B"	"GADD45B"	-0.781995763255771	-0.103033272971555	0.717375103550445	"IS03"	0.717375103550445
"C7orf77"	"C7orf77"	0.271144311293762	-0.897078345685652	0.710427145392732	"IS03"	0.710427145392732
"KRTAP21.1"	"KRTAP21.1"	0.271144311335761	-0.897078345691281	0.710427145365682	"IS03"	0.710427145365682
"OR6C3"	"OR6C3"	0.271144327612499	-0.897078347872851	0.710427134882384	"IS03"	0.710427134882384
"ADCY3"	"ADCY3"	-0.671611609809468	-0.179132145852565	0.709316986919714	"IS03"	0.709316986919714
"MAST3"	"MAST3"	-0.981049188741328	0.0591547016333101	0.706240255821903	"IS03"	0.706240255821903
"TUBAL3"	"TUBAL3"	0.164403879820192	-0.811367508108146	0.705752686724255	"IS03"	0.705752686724255
"C1QL1"	"C1QL1"	0.0742233936593854	-0.741242498350471	0.70415656768177	"IS03"	0.70415656768177
"SOX2"	"SOX2"	-0.325828198829053	-0.436422324411188	0.703515873098568	"IS03"	0.703515873098568
"MARCO"	"MARCO"	-0.868523556267849	-0.0170547365768681	0.696621440880859	"IS03"	0.696621440880859
"DENND6B"	"DENND6B"	-0.818961102997598	-0.0545349488759564	0.696408784485065	"IS03"	0.696408784485065
"C2orf66"	"C2orf66"	0.368757529850181	-0.954336299300764	0.692981039130028	"IS03"	0.692981039130028
"AICDA"	"AICDA"	-0.285680558142162	-0.455539219472216	0.691782228019179	"IS03"	0.691782228019179
"DBNL"	"DBNL"	-0.862011744009504	-0.0119177820340577	0.686247829342451	"IS03"	0.686247829342451
"TRAM1L1"	"TRAM1L1"	-0.712182115488597	-0.124186372819512	0.684539830176148	"IS03"	0.684539830176148
